Column1,State,Year,Source,ItemNum,LineItem,Amount
33,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,c,Cash on Hand,18847
34,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,d,Total Federal funds authorized,4475015
35,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,e,Federal share of expenditures,4456168
36,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,f,Federal share of unliquidated obligations,18847
37,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,g,Total Federal share,4475015
38,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,h,Unobligated balance of Federal funds,0
1659,AK,2020,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AK%202020%20ES%20Financial%20and%20Progress%20Report.pdf,i,Total recipient share required,2313468.6
40,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,j,Recipient share of expenditures,223751
41,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,k,Remaining recipient share to be provided,0
42,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,l,Total Federal program income earned,25459
43,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,m,Program income expended in accordance with the deduction alternative,0
44,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,n,Program income expended in accordance with the addition alternative,0
45,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,o,Unexpended program income,25459
46,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,a,Cash Receipts,0
47,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,b,Cash Disbursements,0
48,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,c,Cash on Hand,0
49,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,d,Total Federal funds authorized,600000
50,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,e,Federal share of expenditures,0
51,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,f,Federal share of unliquidated obligations,0
52,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,g,Total Federal share,0
53,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,h,Unobligated balance of Federal funds,6.00E+05
2454,AK,2021,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FY21%20Annual%20FFR/AK%202021%20ES%20Annual%20Financial%20and%20Progress%20Report.pdf,i,Total recipient share required,2313829.8
55,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,j,Recipient share of expenditures,0
56,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,k,Remaining recipient share to be provided,0
57,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,l,Total Federal program income earned,0
58,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,m,Program income expended in accordance with the deduction alternative,0
59,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,n,Program income expended in accordance with the addition alternative,0
60,AS,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AS2018%5B101ES%5D.pdf,o,Unexpended program income,0
61,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,a,Cash Receipts,0
62,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,b,Cash Disbursements,0
63,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,c,Cash on Hand,0
64,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,d,Total Federal funds authorized,7463675
65,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,e,Federal share of expenditures,13160.27
66,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,f,Federal share of unliquidated obligations,0
67,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,g,Total Federal share,13160.211
68,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,h,Unobligated balance of Federal funds,7450514.731
9,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,i,Total recipient share required,308020
70,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,j,Recipient share of expenditures,0
71,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,k,Remaining recipient share to be provided,373184
72,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,l,Total Federal program income earned,36394.661
73,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,m,Program income expended in accordance with the deduction alternative,0
74,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,n,Program income expended in accordance with the addition alternative,0
75,AZ,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Arizona2018ES_FFRNarr.pdf,o,Unexpended program income,36394.661
76,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,a,Cash Receipts,34658674
77,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,b,Cash Disbursements,0
78,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,c,Cash on Hand,34568674
79,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,d,Total Federal funds authorized,34558874
80,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,e,Federal share of expenditures,0
81,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,f,Federal share of unliquidated obligations,0
82,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,g,Total Federal share,0
83,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,h,Unobligated balance of Federal funds,34558874
834,AL,2019,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2019%5B101ES%5D%20Revised2-20-20.pdf,i,Total recipient share required,308020
85,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,j,Recipient share of expenditures,0
86,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,k,Remaining recipient share to be provided,1727944
87,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,l,Total Federal program income earned,0
88,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,m,Program income expended in accordance with the deduction alternative,0
89,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,n,Program income expended in accordance with the addition alternative,0
90,CA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/California2018ES_FFR.pdf,o,Unexpended program income,0
91,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,a,Cash Receipts,6342979
92,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,b,Cash Disbursements,20337.42
93,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,c,Cash on Hand,6342979
94,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,d,Total Federal funds authorized,6342979
95,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,e,Federal share of expenditures,20337.42
96,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,f,Federal share of unliquidated obligations,0
97,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,g,Total Federal share,20337.42
98,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,h,Unobligated balance of Federal funds,6322641.58
1674,AL,2020,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL%202020%20ES%20Financial%20and%20Progress%20Report.pdf,i,Total recipient share required,1693624
100,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,j,Recipient share of expenditures,89562.38
101,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,k,Remaining recipient share to be provided,227586.62
102,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,l,Total Federal program income earned,21358.05
103,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,m,Program income expended in accordance with the deduction alternative,0
104,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,n,Program income expended in accordance with the addition alternative,0
105,CO,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CO2018%5B101ES%5D.pdf,o,Unexpended program income,21358.05
106,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,a,Cash Receipts,0
107,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,b,Cash Disbursements,0
108,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,c,Cash on Hand,0
109,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,d,Total Federal funds authorized,5120544
110,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,e,Federal share of expenditures,1200
111,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,f,Federal share of unliquidated obligations,0
112,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,g,Total Federal share,1200
113,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,h,Unobligated balance of Federal funds,5120544
2439,AL,2021,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FY21%20Annual%20FFR/AL%202021%20ES%20Annual%20Financial%20and%20Progress%20Report.pdf,i,Total recipient share required,1693624
115,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,j,Recipient share of expenditures,113913
116,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,k,Remaining recipient share to be provided,142115
117,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,l,Total Federal program income earned,19512.46
118,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,m,Program income expended in accordance with the deduction alternative,0
119,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,n,Program income expended in accordance with the addition alternative,0
120,CT,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/CT2018%5B101ES%5D%20Corrected.pdf,o,Unexpended program income,19512.46
121,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,a,Cash Receipts,0
122,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,b,Cash Disbursements,0
123,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,c,Cash on Hand,0
124,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,d,Total Federal funds authorized,3000000
125,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,e,Federal share of expenditures,0
126,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,f,Federal share of unliquidated obligations,0
127,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,g,Total Federal share,0
128,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,h,Unobligated balance of Federal funds,3.00E+06
39,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,i,Total recipient share required,223751
130,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,j,Recipient share of expenditures,0
131,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,k,Remaining recipient share to be provided,150000.001
132,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,l,Total Federal program income earned,0
133,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,m,Program income expended in accordance with the deduction alternative,0
134,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,n,Program income expended in accordance with the addition alternative,0
135,DE,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DE2018%5B101ES%5DCorrected.pdf,o,Unexpended program income,0
136,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,a,Cash Receipts,0
137,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,b,Cash Disbursements,0
138,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,c,Cash on Hand,0
139,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,d,Total Federal funds authorized,3000000
140,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,e,Federal share of expenditures,399400
141,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,f,Federal share of unliquidated obligations,0
142,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,g,Total Federal share,399400
143,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,h,Unobligated balance of Federal funds,2600600
894,AR,2019,https://www.eac.gov/sites/default/files/havaffr2019/AR2019101ESFinancialReport.pdf,i,Total recipient share required,0
145,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,j,Recipient share of expenditures,0
146,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,k,Remaining recipient share to be provided,0
147,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,l,Total Federal program income earned,14349
148,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,m,Program income expended in accordance with the deduction alternative,0
149,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,n,Program income expended in accordance with the addition alternative,0
150,DC,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/DC2018%5B251%5D%5B101ES%5DFFRs%2BNarr.pdf,o,Unexpended program income,14349
151,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,a,Cash Receipts,0
152,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,b,Cash Disbursements,0
153,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,c,Cash on Hand,0
154,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,d,Total Federal funds authorized,19187003
155,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,e,Federal share of expenditures,14659907.91
156,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,f,Federal share of unliquidated obligations,0
157,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,g,Total Federal share,14659907.91
158,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,h,Unobligated balance of Federal funds,4527095.091
1689,AR,2020,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AR%202020%20ES%20Financial%20and%20Progress%20Report.pdf,i,Total recipient share required,1229348
160,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,j,Recipient share of expenditures,0
161,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,k,Remaining recipient share to be provided,959350.5
162,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,l,Total Federal program income earned,0
163,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,m,Program income expended in accordance with the deduction alternative,0
164,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,n,Program income expended in accordance with the addition alternative,0
165,FL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FL2018%5B101ES%5D.pdf,o,Unexpended program income,0
166,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,a,Cash Receipts,0
167,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,b,Cash Disbursements,0
168,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,c,Cash on Hand,0
169,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,d,Total Federal funds authorized,10305783
170,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,e,Federal share of expenditures,0
171,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,f,Federal share of unliquidated obligations,0
172,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,g,Total Federal share,0
173,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,h,Unobligated balance of Federal funds,10305783
2499,AR,2021,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/FY21%20Annual%20FFR/AR%202021%20ES%20Annual%20Financial%20and%20Progress%20Report.pdf,i,Total recipient share required,1229348
175,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,j,Recipient share of expenditures,0
176,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,k,Remaining recipient share to be provided,515289
177,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,l,Total Federal program income earned,0
178,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,m,Program income expended in accordance with the deduction alternative,0
179,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,n,Program income expended in accordance with the addition alternative,0
180,GA,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/GA2018%5B101ES%5D.pdf,o,Unexpended program income,0
181,GU,2018,https://www.eac.gov/sites/default/files/havaffr/Guam2018ES_FFR.pdf,a,Cash Receipts,0
182,GU,2018,https://www.eac.gov/sites/default/files/havaffr/Guam2018ES_FFR.pdf,b,Cash Disbursements,0
183,GU,2018,https://www.eac.gov/sites/default/files/havaffr/Guam2018ES_FFR.pdf,c,Cash on Hand,0
184,GU,2018,https://www.eac.gov/sites/default/files/havaffr/Guam2018ES_FFR.pdf,d,Total Federal funds authorized,600000
185,GU,2018,https://www.eac.gov/sites/default/files/havaffr/Guam2018ES_FFR.pdf,e,Federal share of expenditures,3276
