Year,State,Government_Function,Full_Time_Employment,Full_Time_Payroll
2019,AL,Highways,4305,17503801
2019,AL,Air Transportation,0,0
2019,AL,Sea and Inland Port Facilities,506,2853277
2019,AL,Public Welfare,4202,15694512
2019,AL,Health,6029,20658116
2019,AL,Hospitals,11902,58048567
2019,AL,Social Insurance Administration,817,3696154
2019,AL,Solid Waste Management,0,0
2019,AL,Sewerage,0,0
2019,AL,Parks and Recreation,338,961085
2019,AL,Housing and Community Development,0,0
2019,AL,Natural Resources,1853,7806356
2019,AL,Water Supply,0,0
2019,AL,Electric Power,0,0
2019,AL,Gas Supply,0,0
2019,AL,Transit,0,0
2019,AL,Education Total,37432,211770192
2019,AL,Education - Elementary and Secondary Total,0,0
2019,AL,Education - Elementary and Secondary Instructional,0,0
2019,AL,Education - Elementary and Secondary Other,0,0
2019,AL,Education - Higher Education Total,34547,199278770
2019,AL,Education - Higher Education Instructional,11045,88419574
2019,AL,Education - Higher Education Other,23502,110859196
2019,AL,Education - Other,2885,12491422
2019,AL,Libraries,0,0
2019,AL,State liquor stores,861,2569667
2019,AL,All other and unallocable,1787,8220980
2019,AK,Total - All Government Employment Functions,22395,138997289
2019,AK,Financial Administration,920,6197516
2019,AK,Other Government Administration,759,4376001
2019,AK,Judicial and Legal,1632,10450024
2019,AK,Police Protection Total,612,5053849
2019,AK,Police Protection - Persons with Power of Arrest,347,3654980
2019,AK,Police Protection - Other,265,1398869
2019,AK,Fire Protection Total,0,0
2019,AK,Fire Protection - Firefighters,0,0
2019,AK,Fire Protection - Other,0,0
2019,AK,Corrections,2119,12836683
2019,AK,Highways,2860,18570410
2019,AK,Air Transportation,0,0
2019,AK,Sea and Inland Port Facilities,0,0
2019,AK,Public Welfare,1772,9023034
2019,AK,Health,679,4312578
2019,AK,Hospitals,237,1351336
2019,AK,Social Insurance Administration,249,1316502
2019,AK,Solid Waste Management,0,0
2019,AK,Sewerage,0,0
2019,AK,Parks and Recreation,151,821061
2019,AK,Housing and Community Development,0,0
2019,AK,Natural Resources,1958,11920475
2019,AK,Water Supply,0,0
2019,AK,Electric Power,0,0
2019,AK,Gas Supply,0,0
2019,AK,Transit,0,0
2019,AK,Education Total,6448,39699854
2019,AK,Education - Elementary and Secondary Total,2613,12579147
2019,AK,Education - Elementary and Secondary Instructional,1894,9735297
2019,AK,Education - Elementary and Secondary Other,719,2843850
2019,AK,Education - Higher Education Total,3432,24782197
2019,AK,Education - Higher Education Instructional,1119,10528496
2019,AK,Education - Higher Education Other,2313,14253701
2019,AK,Education - Other,403,2338510
2019,AK,Libraries,0,0
2019,AK,State liquor stores,0,0
2019,AK,All other and unallocable,1999,13067966
2019,AZ,Total - All Government Employment Functions,61539,333568359
2019,AZ,Financial Administration,2112,9371174
2019,AZ,Other Government Administration,664,3147598
2019,AZ,Judicial and Legal,2303,11612904
2019,AZ,Police Protection Total,1951,10310575
2019,AZ,Police Protection - Persons with Power of Arrest,1192,6773172
2019,AZ,Police Protection - Other,759,3537403
2019,AZ,Fire Protection Total,0,0
2019,AZ,Fire Protection - Firefighters,0,0
2019,AZ,Fire Protection - Other,0,0
2019,AZ,Corrections,9028,34184364
2019,AZ,Highways,2434,11190725
2019,AZ,Air Transportation,0,0
2019,AZ,Sea and Inland Port Facilities,0,0
2019,AZ,Public Welfare,6291,23044883
2019,AZ,Health,2342,10955967
2019,AZ,Hospitals,573,2491548
2019,AZ,Social Insurance Administration,2101,7355798
2019,AZ,Solid Waste Management,0,0
2019,AZ,Sewerage,0,0
2019,AZ,Parks and Recreation,325,1043894
2019,AZ,Housing and Community Development,0,0
2019,AZ,Natural Resources,1475,6561456
2019,AZ,Water Supply,0,0
2019,AZ,Electric Power,7,57270
2019,AZ,Gas Supply,0,0
2019,AZ,Transit,0,0
2019,AZ,Education Total,27076,188305121
2019,AZ,Education - Elementary and Secondary Total,0,0
2019,AZ,Education - Elementary and Secondary Instructional,0,0
2019,AZ,Education - Elementary and Secondary Other,0,0
2019,AZ,Education - Higher Education Total,25034,180193804
2019,AZ,Education - Higher Education Instructional,8772,78327614
2019,AZ,Education - Higher Education Other,16262,101866190
2019,AZ,Education - Other,2042,8111317
2019,AZ,Libraries,0,0
2019,AZ,State liquor stores,0,0
2019,AZ,All other and unallocable,2857,13935082
2019,AR,Total - All Government Employment Functions,58371,266646156
2019,AR,Financial Administration,2197,9096089
2019,AR,Other Government Administration,826,4128952
2019,AR,Judicial and Legal,1557,6964869
2019,AR,Police Protection Total,1410,5855015
2019,AR,Police Protection - Persons with Power of Arrest,652,3186222
2019,AR,Police Protection - Other,758,2668793
2019,AR,Fire Protection Total,0,0
2019,AR,Fire Protection - Firefighters,0,0
2019,AR,Fire Protection - Other,0,0
2019,AR,Corrections,5567,19270653
2019,AR,Highways,3581,13273549
2019,AR,Air Transportation,5,26145
2019,AR,Sea and Inland Port Facilities,0,0
2019,AR,Public Welfare,4496,16084539
2019,AR,Health,3093,13311665
2019,AR,Hospitals,7116,29722824
2019,AR,Social Insurance Administration,1152,4507882
2019,AR,Solid Waste Management,0,0
2019,AR,Sewerage,0,0
2019,AR,Parks and Recreation,1262,3199552
2019,AR,Housing and Community Development,0,0
2019,AR,Natural Resources,1800,7024242
2019,AR,Water Supply,0,0
2019,AR,Electric Power,0,0
2019,AR,Gas Supply,0,0
2019,AR,Transit,0,0
2019,AR,Education Total,22662,127630660
2019,AR,Education - Elementary and Secondary Total,0,0
2019,AR,Education - Elementary and Secondary Instructional,0,0
2019,AR,Education - Elementary and Secondary Other,0,0
2019,AR,Education - Higher Education Total,21342,122259393
2019,AR,Education - Higher Education Instructional,6590,58324496
2019,AR,Education - Higher Education Other,14752,63934897
2019,AR,Education - Other,1320,5371267
2019,AR,Libraries,40,147979
2019,AR,State liquor stores,0,0
2019,AR,All other and unallocable,1607,6401541
2019,CA,Total - All Government Employment Functions,364031,2852514153
2019,CA,Financial Administration,25300,151559664
2019,CA,Other Government Administration,3885,25671301
2019,CA,Judicial and Legal,6271,49541078
2019,CA,Police Protection Total,10876,97609060
2019,CA,Police Protection - Persons with Power of Arrest,7699,80586833
2019,CA,Police Protection - Other,3177,17022227
2019,CA,Fire Protection Total,0,0
2019,CA,Fire Protection - Firefighters,0,0
2019,CA,Fire Protection - Other,0,0
2019,CA,Corrections,60205,505587410
2019,CA,Highways,19740,176328998
2019,CA,Air Transportation,0,0
2019,CA,Sea and Inland Port Facilities,0,0
2019,CA,Public Welfare,8499,48113827
2019,CA,Health,15147,109084465
2019,CA,Hospitals,31580,286688457
2019,CA,Social Insurance Administration,12722,74280949
2019,CA,Solid Waste Management,652,4524852
2019,CA,Sewerage,0,0
2019,CA,Parks and Recreation,2115,13000369
2019,CA,Housing and Community Development,0,0
2019,CA,Natural Resources,14751,108939775
2019,CA,Water Supply,0,0
2019,CA,Electric Power,0,0
2019,CA,Gas Supply,0,0
2019,CA,Transit,0,0
2019,CA,Education Total,134283,1082772268
2019,CA,Education - Elementary and Secondary Total,0,0
2019,CA,Education - Elementary and Secondary Instructional,0,0
2019,CA,Education - Elementary and Secondary Other,0,0
2019,CA,Education - Higher Education Total,130252,1058960211
2019,CA,Education - Higher Education Instructional,32900,351651583
2019,CA,Education - Higher Education Other,97352,707308628
2019,CA,Education - Other,4031,23812057
2019,CA,Libraries,0,0
2019,CA,State liquor stores,0,0
2019,CA,All other and unallocable,18005,118811680
2019,CO,Total - All Government Employment Functions,70619,447604037
2019,CO,Financial Administration,2995,17726145
2019,CO,Other Government Administration,480,2597249
2019,CO,Judicial and Legal,4899,29940332
2019,CO,Police Protection Total,1415,9818682
2019,CO,Police Protection - Persons with Power of Arrest,821,6407766
2019,CO,Police Protection - Other,594,3410916
2019,CO,Fire Protection Total,0,0
2019,CO,Fire Protection - Firefighters,0,0
2019,CO,Fire Protection - Other,0,0
2019,CO,Corrections,7321,32622016
2019,CO,Highways,2965,15376747
2019,CO,Air Transportation,0,0
2019,CO,Sea and Inland Port Facilities,0,0
2019,CO,Public Welfare,2169,10941209
2019,CO,Health,1382,8509505
2019,CO,Hospitals,3658,18634721
2019,CO,Social Insurance Administration,1182,6044575
2019,CO,Solid Waste Management,0,0
2019,CO,Sewerage,0,0
2019,CO,Parks and Recreation,1035,5561472
2019,CO,Housing and Community Development,0,0
2019,CO,Natural Resources,1032,5992752
2019,CO,Water Supply,0,0
2019,CO,Electric Power,0,0
2019,CO,Gas Supply,0,0
2019,CO,Transit,0,0
2019,CO,Education Total,38351,273872318
2019,CO,Education - Elementary and Secondary Total,0,0
2019,CO,Education - Elementary and Secondary Instructional,0,0
2019,CO,Education - Elementary and Secondary Other,0,0
2019,CO,Education - Higher Education Total,37618,269428250
2019,CO,Education - Higher Education Instructional,16630,160530146
2019,CO,Education - Higher Education Other,20988,108898104
2019,CO,Education - Other,733,4444068
2019,CO,Libraries,0,0
2019,CO,State liquor stores,0,0
2019,CO,All other and unallocable,1735,9966314
2019,CT,Total - All Government Employment Functions,50363,338080748
2019,CT,Financial Administration,1450,10245131
2019,CT,Other Government Administration,1304,8805939
2019,CT,Judicial and Legal,5374,36584570
2019,CT,Police Protection Total,1721,15357850
2019,CT,Police Protection - Persons with Power of Arrest,1097,11246416
2019,CT,Police Protection - Other,624,4111434
2019,CT,Fire Protection Total,0,0
2019,CT,Fire Protection - Firefighters,0,0
2019,CT,Fire Protection - Other,0,0
2019,CT,Corrections,6238,33496233
2019,CT,Highways,3029,18376978
2019,CT,Air Transportation,163,1114375
2019,CT,Sea and Inland Port Facilities,0,0
2019,CT,Public Welfare,5033,31451999
2019,CT,Health,2925,18229722
2019,CT,Hospitals,4687,30832540
2019,CT,Social Insurance Administration,450,3160746
2019,CT,Solid Waste Management,28,242630
2019,CT,Sewerage,0,0
2019,CT,Parks and Recreation,255,913978
2019,CT,Housing and Community Development,48,349719
2019,CT,Natural Resources,681,4177766
2019,CT,Water Supply,0,0
2019,CT,Electric Power,0,0
2019,CT,Gas Supply,0,0
2019,CT,Transit,0,0
2019,CT,Education Total,14898,110450304
2019,CT,Education - Elementary and Secondary Total,0,0
2019,CT,Education - Elementary and Secondary Instructional,0,0
2019,CT,Education - Elementary and Secondary Other,0,0
2019,CT,Education - Higher Education Total,12185,92062651
2019,CT,Education - Higher Education Instructional,4865,44428958
2019,CT,Education - Higher Education Other,7320,47633693
2019,CT,Education - Other,2713,18387653
2019,CT,Libraries,0,0
2019,CT,State liquor stores,0,0
2019,CT,All other and unallocable,2079,14290268
2019,DE,Total - All Government Employment Functions,22872,119187899
2019,DE,Financial Administration,782,2726907
2019,DE,Other Government Administration,436,1993896
2019,DE,Judicial and Legal,1815,8960384
2019,DE,Police Protection Total,1091,8166277
2019,DE,Police Protection - Persons with Power of Arrest,865,7024972
2019,DE,Police Protection - Other,226,1141305
2019,DE,Fire Protection Total,0,0
2019,DE,Fire Protection - Firefighters,0,0
2019,DE,Fire Protection - Other,0,0
2019,DE,Corrections,2854,13057793
2019,DE,Highways,1522,5786314
2019,DE,Air Transportation,0,0
2019,DE,Sea and Inland Port Facilities,0,0
2019,DE,Public Welfare,1498,4891244
2019,DE,Health,1894,7076904
2019,DE,Hospitals,1142,3950122
2019,DE,Social Insurance Administration,276,956191
2019,DE,Solid Waste Management,102,493458
2019,DE,Sewerage,0,0
2019,DE,Parks and Recreation,328,885642
2019,DE,Housing and Community Development,0,0
2019,DE,Natural Resources,436,2146967
2019,DE,Water Supply,0,0
2019,DE,Electric Power,0,0
2019,DE,Gas Supply,0,0
2019,DE,Transit,963,4545011
2019,DE,Education Total,6257,46893276
2019,DE,Education - Elementary and Secondary Total,0,0
2019,DE,Education - Elementary and Secondary Instructional,0,0
2019,DE,Education - Elementary and Secondary Other,0,0
2019,DE,Education - Higher Education Total,5933,44863090
2019,DE,Education - Higher Education Instructional,1635,17023171
2019,DE,Education - Higher Education Other,4298,27839919
2019,DE,Education - Other,324,2030186
2019,DE,Libraries,0,0
2019,DE,State liquor stores,0,0
2019,DE,All other and unallocable,1476,6657513
2019,FL,Total - All Government Employment Functions,163427,769507166
2019,FL,Financial Administration,6116,24808942
2019,FL,Other Government Administration,1832,15605093
2019,FL,Judicial and Legal,19322,85102079
2019,FL,Police Protection Total,4154,17929251
2019,FL,Police Protection - Persons with Power of Arrest,2272,9890691
2019,FL,Police Protection - Other,1882,8038560
2019,FL,Fire Protection Total,0,0
2019,FL,Fire Protection - Firefighters,0,0
2019,FL,Fire Protection - Other,0,0
2019,FL,Corrections,23409,74655493
2019,FL,Highways,6026,29046246
2019,FL,Air Transportation,0,0
2019,FL,Sea and Inland Port Facilities,0,0
2019,FL,Public Welfare,9298,29075269
2019,FL,Health,16508,52934707
2019,FL,Hospitals,4025,13894098
2019,FL,Social Insurance Administration,2417,8554414
2019,FL,Solid Waste Management,0,0
2019,FL,Sewerage,0,0
2019,FL,Parks and Recreation,1187,3248470
2019,FL,Housing and Community Development,0,0
2019,FL,Natural Resources,7743,28649935
2019,FL,Water Supply,0,0
2019,FL,Electric Power,0,0
2019,FL,Gas Supply,0,0
2019,FL,Transit,777,4126388
2019,FL,Education Total,54774,360195157
2019,FL,Education - Elementary and Secondary Total,0,0
2019,FL,Education - Elementary and Secondary Instructional,0,0
2019,FL,Education - Elementary and Secondary Other,0,0
2019,FL,Education - Higher Education Total,52047,350148503
2019,FL,Education - Higher Education Instructional,15097,173862102
2019,FL,Education - Higher Education Other,36950,176286401
2019,FL,Education - Other,2727,10046654
2019,FL,Libraries,0,0
2019,FL,State liquor stores,0,0
2019,FL,All other and unallocable,5839,21681624
2019,GA,Total - All Government Employment Functions,113741,532962783
2019,GA,Financial Administration,2781,14360197
2019,GA,Other Government Administration,1373,5160581
2019,GA,Judicial and Legal,3632,18125266
2019,GA,Police Protection Total,2649,12107133
2019,GA,Police Protection - Persons with Power of Arrest,1500,7665256
2019,GA,Police Protection - Other,1149,4441877
2019,GA,Fire Protection Total,0,0
2019,GA,Fire Protection - Firefighters,0,0
2019,GA,Fire Protection - Other,0,0
2019,GA,Corrections,14961,47063771
2019,GA,Highways,3713,14544920
2019,GA,Air Transportation,2,10483
2019,GA,Sea and Inland Port Facilities,1307,8975385
2019,GA,Public Welfare,6803,21377477
2019,GA,Health,3607,16825282
2019,GA,Hospitals,7715,32637229
2019,GA,Social Insurance Administration,1004,3299064
2019,GA,Solid Waste Management,0,0
2019,GA,Sewerage,0,0
2019,GA,Parks and Recreation,2753,7769856
2019,GA,Housing and Community Development,0,0
2019,GA,Natural Resources,4403,17145463
2019,GA,Water Supply,0,0
2019,GA,Electric Power,0,0
2019,GA,Gas Supply,0,0
2019,GA,Transit,0,0
2019,GA,Education Total,55083,304864498
2019,GA,Education - Elementary and Secondary Total,0,0
2019,GA,Education - Elementary and Secondary Instructional,0,0
2019,GA,Education - Elementary and Secondary Other,0,0
2019,GA,Education - Higher Education Total,51998,290157814
2019,GA,Education - Higher Education Instructional,15998,115231581
2019,GA,Education - Higher Education Other,36000,174926233
2019,GA,Education - Other,3085,14706684
2019,GA,Libraries,0,0
2019,GA,State liquor stores,0,0
2019,GA,All other and unallocable,1955,8696178
2019,HI,Total - All Government Employment Functions,51031,269022594
2019,HI,Financial Administration,740,3567204
2019,HI,Other Government Administration,897,4392333
2019,HI,Judicial and Legal,2634,14315170
2019,HI,Police Protection Total,0,0
2019,HI,Police Protection - Persons with Power of Arrest,0,0
2019,HI,Police Protection - Other,0,0
2019,HI,Fire Protection Total,0,0
2019,HI,Fire Protection - Firefighters,0,0
2019,HI,Fire Protection - Other,0,0
2019,HI,Corrections,2365,13563126
2019,HI,Highways,781,4290138
2019,HI,Air Transportation,1046,5328768
2019,HI,Sea and Inland Port Facilities,205,1012316
2019,HI,Public Welfare,406,1995940
2019,HI,Health,2017,11175182
2019,HI,Hospitals,2796,17145554
2019,HI,Social Insurance Administration,163,817562
2019,HI,Solid Waste Management,0,0
2019,HI,Sewerage,0,0
2019,HI,Parks and Recreation,144,623188
2019,HI,Housing and Community Development,0,0
2019,HI,Natural Resources,895,4556118
2019,HI,Water Supply,0,0
2019,HI,Electric Power,0,0
2019,HI,Gas Supply,0,0
2019,HI,Transit,0,0
2019,HI,Education Total,31513,165588280
2019,HI,Education - Elementary and Secondary Total,22906,110538506
2019,HI,Education - Elementary and Secondary Instructional,17454,90409538
2019,HI,Education - Elementary and Secondary Other,5452,20128968
2019,HI,Education - Higher Education Total,8478,54455106
2019,HI,Education - Higher Education Instructional,3209,26688876
2019,HI,Education - Higher Education Other,5269,27766230
2019,HI,Education - Other,129,594668
2019,HI,Libraries,471,1842369
2019,HI,State liquor stores,0,0
2019,HI,All other and unallocable,3958,18809346
2019,ID,Total - All Government Employment Functions,21400,123486425
2019,ID,Financial Administration,1261,7693282
2019,ID,Other Government Administration,244,1485606
2019,ID,Judicial and Legal,558,5914261
2019,ID,Police Protection Total,533,3003427
2019,ID,Police Protection - Persons with Power of Arrest,292,1908776
2019,ID,Police Protection - Other,241,1094651
2019,ID,Fire Protection Total,0,0
2019,ID,Fire Protection - Firefighters,0,0
2019,ID,Fire Protection - Other,0,0
2019,ID,Corrections,2336,14462524
2019,ID,Highways,1344,6192355
2019,ID,Air Transportation,0,0
2019,ID,Sea and Inland Port Facilities,0,0
2019,ID,Public Welfare,1724,7713556
2019,ID,Health,1715,9754270
2019,ID,Hospitals,509,2117749
2019,ID,Social Insurance Administration,470,3208577
2019,ID,Solid Waste Management,0,0
2019,ID,Sewerage,0,0
2019,ID,Parks and Recreation,154,894715
2019,ID,Housing and Community Development,0,0
2019,ID,Natural Resources,1676,10514665
2019,ID,Water Supply,0,0
2019,ID,Electric Power,0,0
2019,ID,Gas Supply,0,0
2019,ID,Transit,0,0
2019,ID,Education Total,7558,41795945
2019,ID,Education - Elementary and Secondary Total,0,0
2019,ID,Education - Elementary and Secondary Instructional,0,0
2019,ID,Education - Elementary and Secondary Other,0,0
2019,ID,Education - Higher Education Total,7166,38910626
2019,ID,Education - Higher Education Instructional,2451,17375633
2019,ID,Education - Higher Education Other,4715,21534993
2019,ID,Education - Other,392,2885319
2019,ID,Libraries,0,0
2019,ID,State liquor stores,161,834387
2019,ID,All other and unallocable,1157,7901106
2019,IL,Total - All Government Employment Functions,103570,655451548
2019,IL,Financial Administration,4639,25206623
2019,IL,Other Government Administration,1841,11311925
2019,IL,Judicial and Legal,3175,29781541
2019,IL,Police Protection Total,2733,22838538
2019,IL,Police Protection - Persons with Power of Arrest,1606,14504840
2019,IL,Police Protection - Other,1127,8333698
2019,IL,Fire Protection Total,0,0
2019,IL,Fire Protection - Firefighters,0,0
2019,IL,Fire Protection - Other,0,0
2019,IL,Corrections,13342,83347206
2019,IL,Highways,5864,38915461
2019,IL,Air Transportation,34,225528
2019,IL,Sea and Inland Port Facilities,46,311042
2019,IL,Public Welfare,9285,60883258
2019,IL,Health,2070,14223983
2019,IL,Hospitals,10228,59906188
2019,IL,Social Insurance Administration,1449,7988340
2019,IL,Solid Waste Management,0,0
2019,IL,Sewerage,0,0
2019,IL,Parks and Recreation,581,3051702
2019,IL,Housing and Community Development,295,1909470
2019,IL,Natural Resources,1918,10257031
2019,IL,Water Supply,0,0
2019,IL,Electric Power,8,65626
2019,IL,Gas Supply,0,0
2019,IL,Transit,0,0
2019,IL,Education Total,39533,242679537
2019,IL,Education - Elementary and Secondary Total,0,0
2019,IL,Education - Elementary and Secondary Instructional,0,0
2019,IL,Education - Elementary and Secondary Other,0,0
2019,IL,Education - Higher Education Total,37422,228857876
2019,IL,Education - Higher Education Instructional,12871,98225109
2019,IL,Education - Higher Education Other,24551,130632767
2019,IL,Education - Other,2111,13821661
2019,IL,Libraries,0,0
2019,IL,State liquor stores,45,273615
2019,IL,All other and unallocable,6484,42274934
2019,IN,Total - All Government Employment Functions,75737,380682303
2019,IN,Financial Administration,3216,13384465
2019,IN,Other Government Administration,600,3154837
2019,IN,Judicial and Legal,1412,11832583
2019,IN,Police Protection Total,1852,10208309
2019,IN,Police Protection - Persons with Power of Arrest,1369,8274361
2019,IN,Police Protection - Other,483,1933948
2019,IN,Fire Protection Total,0,0
2019,IN,Fire Protection - Firefighters,0,0
2019,IN,Fire Protection - Other,0,0
2019,IN,Corrections,5770,20870810
2019,IN,Highways,3519,14592668
2019,IN,Air Transportation,0,0
2019,IN,Sea and Inland Port Facilities,25,230718
2019,IN,Public Welfare,6309,24964481
2019,IN,Health,1631,7353406
2019,IN,Hospitals,1522,5503060
2019,IN,Social Insurance Administration,1012,3798297
2019,IN,Solid Waste Management,0,0
2019,IN,Sewerage,0,0
2019,IN,Parks and Recreation,121,515222
2019,IN,Housing and Community Development,0,0
2019,IN,Natural Resources,1712,7355400
2019,IN,Water Supply,0,0
2019,IN,Electric Power,0,0
2019,IN,Gas Supply,0,0
2019,IN,Transit,0,0
2019,IN,Education Total,44855,246831801
2019,IN,Education - Elementary and Secondary Total,0,0
2019,IN,Education - Elementary and Secondary Instructional,0,0
2019,IN,Education - Elementary and Secondary Other,0,0
2019,IN,Education - Higher Education Total,43910,242729531
2019,IN,Education - Higher Education Instructional,17062,122106433
2019,IN,Education - Higher Education Other,26848,120623098
2019,IN,Education - Other,945,4102270
2019,IN,Libraries,0,0
2019,IN,State liquor stores,0,0
2019,IN,All other and unallocable,2181,10086246
2019,IA,Total - All Government Employment Functions,41064,279752321
2019,IA,Financial Administration,1129,6556379
2019,IA,Other Government Administration,401,2144900
2019,IA,Judicial and Legal,2106,12692976
2019,IA,Police Protection Total,883,6169338
2019,IA,Police Protection - Persons with Power of Arrest,568,4539879
2019,IA,Police Protection - Other,315,1629459
2019,IA,Fire Protection Total,0,0
2019,IA,Fire Protection - Firefighters,0,0
2019,IA,Fire Protection - Other,0,0
2019,IA,Corrections,2619,13914846
2019,IA,Highways,2141,12558872
2019,IA,Air Transportation,0,0
2019,IA,Sea and Inland Port Facilities,0,0
2019,IA,Public Welfare,2258,12204902
2019,IA,Health,410,2610317
2019,IA,Hospitals,7690,47545526
2019,IA,Social Insurance Administration,548,2718784
2019,IA,Solid Waste Management,0,0
2019,IA,Sewerage,0,0
2019,IA,Parks and Recreation,105,680561
2019,IA,Housing and Community Development,78,563956
2019,IA,Natural Resources,1354,8257886
2019,IA,Water Supply,0,0
2019,IA,Electric Power,0,0
2019,IA,Gas Supply,0,0
2019,IA,Transit,0,0
2019,IA,Education Total,17218,138833341
2019,IA,Education - Elementary and Secondary Total,0,0
2019,IA,Education - Elementary and Secondary Instructional,0,0
2019,IA,Education - Elementary and Secondary Other,0,0
2019,IA,Education - Higher Education Total,16259,133105713
2019,IA,Education - Higher Education Instructional,3542,39095311
2019,IA,Education - Higher Education Other,12717,94010402
2019,IA,Education - Other,959,5727628
2019,IA,Libraries,0,0
2019,IA,State liquor stores,0,0
2019,IA,All other and unallocable,2124,12299737
2019,KS,Total - All Government Employment Functions,48518,241148933
2019,KS,Financial Administration,1681,7562338
2019,KS,Other Government Administration,429,1552065
2019,KS,Judicial and Legal,2082,9820667
2019,KS,Police Protection Total,1088,5608568
2019,KS,Police Protection - Persons with Power of Arrest,755,3564632
2019,KS,Police Protection - Other,333,2043936
2019,KS,Fire Protection Total,0,0
2019,KS,Fire Protection - Firefighters,0,0
2019,KS,Fire Protection - Other,0,0
2019,KS,Corrections,3065,11715217
2019,KS,Highways,2454,9341994
2019,KS,Air Transportation,0,0
2019,KS,Sea and Inland Port Facilities,0,0
2019,KS,Public Welfare,2355,8001851
2019,KS,Health,1153,4828104
2019,KS,Hospitals,10614,54745617
2019,KS,Social Insurance Administration,54,194653
2019,KS,Solid Waste Management,0,0
2019,KS,Sewerage,0,0
2019,KS,Parks and Recreation,563,1921458
2019,KS,Housing and Community Development,0,0
2019,KS,Natural Resources,739,3392582
2019,KS,Water Supply,0,0
2019,KS,Electric Power,0,0
2019,KS,Gas Supply,0,0
2019,KS,Transit,0,0
2019,KS,Education Total,20264,113129645
2019,KS,Education - Elementary and Secondary Total,0,0
2019,KS,Education - Elementary and Secondary Instructional,0,0
2019,KS,Education - Elementary and Secondary Other,0,0
2019,KS,Education - Higher Education Total,19784,110828916
2019,KS,Education - Higher Education Instructional,7428,55006477
2019,KS,Education - Higher Education Other,12356,55822439
2019,KS,Education - Other,480,2300729
2019,KS,Libraries,0,0
2019,KS,State liquor stores,0,0
2019,KS,All other and unallocable,1977,9334174
2019,KY,Total - All Government Employment Functions,70509,342747777
2019,KY,Financial Administration,2090,8523931
2019,KY,Other Government Administration,1041,4343880
2019,KY,Judicial and Legal,4767,18740813
2019,KY,Police Protection Total,2094,8767130
2019,KY,Police Protection - Persons with Power of Arrest,1047,4375367
2019,KY,Police Protection - Other,1047,4391763
2019,KY,Fire Protection Total,0,0
2019,KY,Fire Protection - Firefighters,0,0
2019,KY,Fire Protection - Other,0,0
2019,KY,Corrections,3957,13309092
2019,KY,Highways,4009,15419183
2019,KY,Air Transportation,28,118714
2019,KY,Sea and Inland Port Facilities,0,0
2019,KY,Public Welfare,6920,22957208
2019,KY,Health,3532,16649506
2019,KY,Hospitals,7746,38989750
2019,KY,Social Insurance Administration,699,2342761
2019,KY,Solid Waste Management,0,0
2019,KY,Sewerage,0,0
2019,KY,Parks and Recreation,832,2318299
2019,KY,Housing and Community Development,0,0
2019,KY,Natural Resources,1902,7554682
2019,KY,Water Supply,0,0
2019,KY,Electric Power,0,0
2019,KY,Gas Supply,0,0
2019,KY,Transit,0,0
2019,KY,Education Total,28581,173779834
2019,KY,Education - Elementary and Secondary Total,0,0
2019,KY,Education - Elementary and Secondary Instructional,0,0
2019,KY,Education - Elementary and Secondary Other,0,0
2019,KY,Education - Higher Education Total,26506,164930496
