state_abbv,n_abs_nonret,n_abs_rej_all_ballots,n_eavs_completeness,n_eric_membership,n_nonvoter_illness_onyear_new,n_nonvoter_reg_pct,n_online_reg,n_pct_reg_of_vep_vrs,n_post_election_audit,n_prov_partic,n_prov_rej_all,n_reg_rej,n_residual,n_risk_limiting_audits,n_uocava_nonret,n_uocava_rej,n_vep_turnout,n_wait,n_website,state,index
LA,0.4273778,0.9454211,1,1,0.3291461,0.6871923,1,0.6986923,0,0.9909375,0.9537281,0.9522636,0.7781633,,0.4185029,0.9151989,0.5855359,0.7474488,1,Louisiana,0.74608934
MA,0.8012806,0.8559532,0.9997774,,0.3208242,0.6982908,1,0.8419549,1,0.9909994,0.9630935,0.9352971,0.8477659,,0.7739518,0.9887505,0.7922601,0.9439925,0.8,Massachusetts,0.85612893
MD,0.7422135,0.9524933,1,1,0.0734628,0.794211,1,0.8835108,1,0.7208029,0.9371644,0.9977976,0.8449096,,0.5450748,0.9742509,0.7656242,0.7350883,1,Maryland,0.831478
ME,0.9379332,0.9167404,1,,0.6818269,0.9237958,0,0.7308121,0,1,1,0.9932274,0.7553352,,0.8014731,0.9926329,0.9037685,0.9092788,1,Maine,0.79687202
MI,0.8151579,0.8037699,1,1,0.5818043,0.7113626,1,0.7910284,1,0.999271,0.9957255,0.9984049,0.8736888,,0.7029776,0.9085897,0.8395895,0.8482201,0.8,Michigan,0.87053281
MN,0.6316675,0.8509516,1,1,0.3172715,0.9557165,1,0.8477928,1,1,1,0.999393,0.914729,,0.6857851,0.9327605,1,0.822971,1,Minnesota,0.88661325
MO,0.9304066,0.9120101,0.9634578,1,0.4343099,0.7204149,1,0.7296183,1,0.9896849,0.9562982,,,,0.6530882,0.9805933,0.6236679,0.6811219,0.6,Missouri,0.82341701
MS,0.9277821,0.7763874,0.999666,,0.5454434,0.4703315,0,0.7449273,0,0.901077,0.7664437,0.9966527,,,0.6404474,1,0.4763495,0.7270033,0.6,Mississippi,0.66078198
MT,0.6616679,0.8623983,0.9995049,,0.8702781,0.2852417,0,0.7272834,1,0.9897232,0.960614,0.9918031,0.6735134,,0.7668734,0.9948754,0.8185306,0.9806694,0.8,Montana,0.78723395
NC,0.372347,0.9313073,1,,0.4602197,0.4697439,1,0.6687736,1,0.9439904,0.7704961,0.8610329,0.9421818,,0.033897,0.9689575,0.7755077,0.7525653,1,North Carolina,0.76182473
ND,0.6712663,0.931455,0.9913651,,0.794527,0.8441029,,,1,1,1,,0.8603747,,0.7512019,0.9779547,0.5896122,0.8798954,1,North Dakota,0.8779825
NE,0.90927,0.9116061,0.9992698,,0.6829127,0.7391251,1,0.6671387,1,0.8968571,0.8329366,0.9967898,0.7493556,,0.8008366,0.9878926,0.7334468,0.9144881,1,Nebraska,0.87187797
NH,0.9399449,0.8702546,0.999616,,0.3061982,1,0,0.6722147,0,1,1,1,0.7275234,,0.7929299,0.9494231,0.880864,0.8450886,1,New Hampshire,0.76376808
NJ,,0.3970329,1,,0.2777449,0.7161249,1,0.8931314,1,0.4784697,0.838729,0.9529437,0.5401878,,0,0.9861916,0.8758115,0.9757921,1,New Jersey,0.74575996
NM,0.797178,0,0.9999451,1,0.9250488,0.6723361,1,0.4362484,1,0.9783374,0.8886611,0.9847193,0.9204624,,1,0.9774317,0.5049638,0.6361351,1,New Mexico,0.81785929
NV,,0.7857397,0.9999843,1,0.8560062,0.8282664,1,0.5549774,1,0.6231413,0.8776692,0.8652636,0.9992079,,0.6815148,0.990631,0.6135679,0.7507284,1,Nevada,0.8486293
NY,0.4831261,0.5842776,0.9361093,,0.259078,0.7184079,1,0.6462328,1,0.8658749,0.5988152,0.8773194,0.8887631,,,,0.5661922,0.7283329,0.8,New York,0.73016864
OH,0.8359938,0.9234169,1,1,0.3686783,0.7159284,1,0.6909209,1,0.8028139,0.78713,0.8376909,0.8091943,,0.7151918,0.9802787,0.6685302,0.771829,0.8,Ohio,0.81708872
OK,0.5719495,0.8267473,1,,0.6435053,0.4727316,0.5,0.3589367,1,0.9662192,0.8347613,0.9270368,,,0.5247215,0.9524783,0.3392024,0.4752641,1,Oklahoma,0.71209711
OR,,0.6033381,0.9411765,1,0.5165135,0.1661219,1,0.8248795,1,0.9996726,0.9987368,,0.6001843,,0.6778442,0.9740911,0.8825135,0.9891561,0.8,Oregon,0.81088924
PA,0.6587626,0.7363203,0.9988749,1,0.4559399,0.7601963,1,0.7040178,1,0.8591063,0.8369768,0.6227729,,,0.6424662,0.8988572,0.7665241,0.7307731,0.8,Pennsylvania,0.79244637
RI,,0.9932653,0.9998977,1,0.3702203,0.7090198,1,0.6761068,1,0.9344106,0.7972978,0.996515,0.8666399,1,0.7838111,0.9831625,0.6131,0.8659796,1,Rhode Island,0.86607927
SC,0.915581,0.9067534,0.9411765,1,0.4293609,0.5802547,1,0.6768022,1,0.9683451,0.8956228,,0.8342661,,0.7725309,0.9912058,0.5912254,0.4458519,1,South Carolina,0.82052803
SD,0.846408,0.9039031,0.9983186,,0.4786493,0.5502921,0,0.5473067,0,0.993888,0.9645914,0.9995835,0.7327815,,0.9439546,0.9202354,0.6296666,0.9165221,0.8,South Dakota,0.71918243
TN,0.8887868,0.9679049,1,,0.1083087,0.5030256,1,0.5264634,1,0.9657751,0.8710929,0.8452916,0.861194,,0.6994728,0.9408761,0.4666218,0.692782,0.8,Tennessee,0.77279973
TX,0.5832882,0.9637261,0.9862751,1,0.6444548,0.7255231,1,0.4998789,1,0.9330709,0.7336989,0.9645002,,,0.4823632,0.9539659,0.4829386,0.7784818,0.8,Texas,0.79600978
UT,,0.6389164,0.9999542,1,0.6939987,0.2413853,1,0.5097864,1,0.8347161,0.9382919,0.616574,0.5516862,,0.3323988,0.9920778,0.7144646,0.9453555,1,Utah,0.76527095
VA,0.7754855,0.9282726,1,1,0.3634796,0.2581152,1,0.7849401,1,0.9731413,0.9959297,0.8583229,0.8860881,1,0.6542957,0.9294901,0.8158556,0.7849063,0.8,Virginia,0.832017
VT,,0.7869184,0.9981851,1,0.3749586,0.8320868,1,0.7652754,1,1,1,0.9663921,0.7861381,,1,0.9782056,0.8479013,0.9647691,1,Vermont,0.90004885
WA,,0.586342,1,1,0.6540154,0.6885387,1,0.7522069,1,0.9997002,0.9987321,0.9984055,0.8522322,,0.078553,0.9790197,0.8875368,0.9938743,1,Washington,0.85112685
WI,0.7860911,0.9557598,0.9424347,1,0.409837,0.8853349,1,0.6854358,1,0.9990999,0.9962458,,0.9514446,,0.6402252,0.9250196,0.8891512,0.8903487,1,Wisconsin,0.87978989
WV,0.8862922,0.98782,0.9995165,1,0.4495958,0.7217941,1,0.5536488,1,0.9289569,0.7884368,0.9970666,0.7721399,,0.7346721,0.9953853,0.4077737,0.8108238,1,West Virginia,0.83521789
WY,0.9047165,0.9711187,0.9721677,,0.4689957,0.703377,0,0.4979733,1,0.9989061,0.9953156,,0.8757837,,0.765251,0.9883314,0.5925357,0.8739676,0.2,Wyoming,0.73802751
