State,Year,Source,Item,Voting_Equipment,Election_Auditing,Voter_Registration_Systems,Cyber_Security,Communications,Other_F,Other_G,Other_COVID,Totals,budget_period_start,budget_period_end,Other_F_description,Other_G_description
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,8. Total Federal Budget,607080,0,77000,1250000,0,1200000,0,0,3134080,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,11. NonFederal Match,0,0,156704,0,0,0,0,0,156704,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,12. Total Program Budget,607080,0,233704,1250000,0,1200000,0,0,3290784,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,100000,0,500000,0,0,0,0,600000,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,2. EQUIPMENT,600000,0,100000,300000,0,0,0,0,1000000,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,100000,300000,700000,0,0,0,0,1100000,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,4. TRAINING,100000,250000,0,500000,150000,0,0,0,1000000,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,5. All OTHER COSTS,150000,0,333595,200000,0,0,0,0,683595,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,850000,450000,733595,2200000,150000,0,0,0,4383595,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,8. Total Federal Budget,850000,450000,733595,2200000,150000,0,0,0,4383595,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,11. NonFederal Match,219180,0,0,0,0,0,0,0,219180,3/22/2018,3/22/2023,,
KS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/KS_Narrative_Budget.pdf,12. Total Program Budget,1069180,450000,733595,2200000,150000,0,0,0,4602775,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,2. EQUIPMENT,5889487,0,0,0,0,0,0,0,5889487,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,4. TRAINING,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,5889487,0,0,0,0,0,0,0,5889487,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,8. Total Federal Budget,5889487,0,0,0,0,0,0,0,5889487,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,11. NonFederal Match,294474,0,0,0,0,0,0,0,294474,3/22/2018,3/22/2023,,
LA,2018,https://www.eac.gov/sites/default/files/havadocuments/LA_Narrative_Budget.pdf,12. Total Program Budget,6183961,0,0,0,0,0,0,0,6183961,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,2. EQUIPMENT,2500000,0,1650000,0,0,0,0,0,4150000,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,4. TRAINING,0,0,55818,250000,0,0,0,0,305818,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,740199,0,0,0,0,740199,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,2500000,0,1705818,990199,0,0,0,0,5196017,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,8. Total Federal Budget,2500000,0,1705818,990199,0,0,0,0,5196017,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,11. NonFederal Match,0,0,0,259801,0,0,0,0,259801,3/22/2018,3/22/2023,,
OK,2018,https://www.eac.gov/sites/default/files/havadocuments/OK_Narrative_Budget.pdf,12. Total Program Budget,2500000,0,1705818,1250000,0,0,0,0,5455818,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,40000,0,0,0,0,0,40000,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,2. EQUIPMENT,200000,0,0,0,0,0,0,0,200000,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,4. TRAINING,100000,0,0,45000,0,0,0,0,145000,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,0,135000,80000,0,0,215000,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,300000,0,40000,45000,135000,80000,0,0,600000,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,8. Total Federal Budget,300000,0,40000,45000,135000,80000,0,0,600000,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,11. NonFederal Match,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
VI,2018,https://www.eac.gov/sites/default/files/havadocuments/VI_Narrative_Budget.pdf,12. Total Program Budget,300000,0,40000,45000,135000,80000,0,0,600000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,2. EQUIPMENT,2570000,120000,0,0,0,0,0,0,2690000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,4. TRAINING,0,0,0,100000,0,0,0,0,100000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,210000,0,0,0,0,210000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,2570000,120000,0,310000,0,0,0,0,3000000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,8. Total Federal Budget,2570000,120000,0,310000,0,0,0,0,3000000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,11. NonFederal Match,0,0,150000,0,0,0,0,0,150000,3/22/2018,3/22/2023,,
VT,2018,https://www.eac.gov/sites/default/files/havadocuments/VT_Narrative_Budget.pdf,12. Total Program Budget,2570000,120000,150000,310000,0,0,0,0,3150000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,1. PERSONNEL (including fringe),100000,0,0,100000,0,0,0,0,200000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,2. EQUIPMENT,30000,200000,0,0,0,0,0,0,230000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,4. TRAINING,0,0,50000,0,0,0,0,0,50000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,120000,0,0,0,0,120000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,130000,200000,50000,220000,0,0,0,0,600000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,8. Total Federal Budget,130000,200000,50000,220000,0,0,0,0,600000,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,11. NonFederal Match,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AS,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/AS_Narrative_Budget.pdf,12. Total Program Budget,130000,200000,50000,220000,0,0,0,0,600000,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,2. EQUIPMENT,706523,0,0,20000,0,200235,0,0,926758,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,4. TRAINING,0,0,0,50000,0,0,50059,0,100059,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,1678160,280411,0,0,0,0,1958571,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,706523,0,1678160,350411,0,200235,50059,0,2985388,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),34456,0,81840,17089,0,9765,2441,0,145591,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,8. Total Federal Budget,740979,0,1760000,367500,0,210000,52500,0,3130979,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,11. NonFederal Match,56549,0,100000,0,0,0,0,0,156549,3/22/2018,3/22/2023,,
ME,2018,https://www.eac.gov/sites/default/files/eac_assets/1/6/ME_Narrative_Budget.pdf,12. Total Program Budget,797528,0,1860000,367500,0,210000,52500,0,3287528,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,2000000,0,0,0,0,2000000,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,2. EQUIPMENT,100000,0,250000,354352,0,0,0,0,704352,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,4. TRAINING,0,0,0,0,0,1500000,0,0,1500000,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,808000,1155000,500000,0,0,0,2463000,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,100000,0,1058000,3509352,500000,1500000,0,0,6667352,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),5945,0,62894,208616,29723,89169,0,0,396347,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,8. Total Federal Budget,105945,0,1120894,3717968,529723,1589169,0,0,7063699,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,11. NonFederal Match,0,352000,775,435,0,0,0,0,353210,3/22/2018,3/22/2023,,
MD,2018,https://www.eac.gov/sites/default/files/havadocuments/MD_Narrative_Budget.pdf,12. Total Program Budget,105945,352000,1121669,3718403,529723,1589169,0,0,7416909,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,2. EQUIPMENT,5515794,0,0,0,0,0,0,0,5515794,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,4. TRAINING,0,0,0,25000,0,0,0,0,25000,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,500000,0,0,0,0,500000,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,5515794,0,0,525000,0,0,0,0,6040794,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,8. Total Federal Budget,5515794,0,0,525000,0,0,0,0,6040794,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,11. NonFederal Match,302040,0,0,0,0,0,0,0,302040,3/22/2018,3/22/2023,,
SC,2018,https://www.eac.gov/sites/default/files/havadocuments/SC_Narrative_Budget.pdf,12. Total Program Budget,5817834,0,0,525000,0,0,0,0,6342834,3/22/2018,3/22/2023,,
AZ,2018,0,1. PERSONNEL (including fringe),0,0,0,39916,0,0,0,0,39916,3/22/2018,12/31/2018,,
AZ,2018,0,2. EQUIPMENT,0,0,0,0,0,0,0,0,0,3/22/2018,12/31/2018,,
AZ,2018,0,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,12/31/2018,,
AZ,2018,0,4. TRAINING,0,0,0,0,0,0,0,0,0,3/22/2018,12/31/2018,,
AZ,2018,0,5. All OTHER COSTS,0,0,2165936,380000,0,0,0,0,2545936,3/22/2018,12/31/2018,,
AZ,2018,0,6. TOTAL DIRECT COSTS,0,0,2165936,419916,0,0,0,0,2585852,3/22/2018,12/31/2018,,
AZ,2018,0,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,12/31/2018,,
AZ,2018,0,8. Total Federal Budget,0,0,2165936,419916,0,0,0,0,2585852,3/22/2018,12/31/2018,,
AZ,2018,0,11. NonFederal Match,0,0,102636,0,0,0,0,0,102636,3/22/2018,12/31/2018,,
AZ,2018,0,12. Total Program Budget,0,0,2268572,419916,0,0,0,0,2688488,3/22/2018,12/31/2018,,
AR,2018,0,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AR,2018,0,2. EQUIPMENT,4475015,0,0,0,0,0,0,0,4475015,3/22/2018,3/22/2021,,
AR,2018,0,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AR,2018,0,4. TRAINING,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AR,2018,0,5. All OTHER COSTS,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AR,2018,0,6. TOTAL DIRECT COSTS,4475015,0,0,0,0,0,0,0,4475015,3/22/2018,3/22/2021,,
AR,2018,0,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AR,2018,0,8. Total Federal Budget,4475015,0,0,0,0,0,0,0,4475015,3/22/2018,3/22/2021,,
AR,2018,0,11. NonFederal Match,223751,0,0,0,0,0,0,0,223751,3/22/2018,3/22/2021,,
AR,2018,0,12. Total Program Budget,4698766,0,0,0,0,0,0,0,4698766,3/22/2018,3/22/2021,,
CA,2018,0,1. PERSONNEL (including fringe),0,0,0,4564000,0,1939874,0,0,6503874,3/22/2018,3/22/2023,,
